462;2,76;418;4,13;248;2,10;302;2,07;409;2,75;1115;5,84;151;1,71;515;3,65;600;4,96;395;1,87;512;5,23
0;3804;2,64
718;6,33;140;1,51;193;2,28;184;1,56;279;1,62;419;2,79;284;3,67;378;3,05;473;2,60;373;2,16;363;2,36
0;4405;2,69
774;4,15;403;2,61;736;3,73;286;2,29;281;2,25;467;2,79;303;2,10;167;1,63;259;1,93;309;2,41;420;2,38
0;3100;2,03
112;1,25;240;2,33;345;2,87;285;2,85;336;1,97;163;1,59;261;1,86;337;1,88;281;1,85;429;2,26;311;1,77
0;4728;3,14
598;4,92;867;4,19;518;3,53;416;3,16;295;2,09;450;4,46;211;1,93;441;3,63;485;3,63;214;1,44;233;1,64
0;5774;3,80
371;2,53;581;3,30;383;2,07;750;6,18;441;3,26;750;4,75;683;5,77;282;2,71;899;7,05;239;1,63;395;3,88
0;7371;5,26
2192;12,37;1218;6,89;714;5,17;184;2,12;864;5,21;331;2,22;1018;8,75;185;2,09;212;2,04;278;2,47;175;2,03
0;6303;4,63
297;2,45;673;7,10;345;3,53;680;4,47;955;5,72;489;4,17;447;4,17;243;2,10;1137;7,73;325;2,83;712;5,64
241145
0;8019;5,24
702;4,19;404;4,00;562;4,77;581;3,97;566;3,81;807;4,22;299;3,39;478;3,39;406;3,35;2768;13,11;446;4,56
0;4245;2,95
246;2,17;313;3,39;242;2,86;386;3,26;611;3,55;430;2,86;315;4,07;747;6,03;352;1,94;292;1,69;311;2,02
0;6440;3,93
657;3,53;665;4,31;690;3,50;508;4,07;495;3,96;628;3,75;518;3,60;416;4,06;549;4,09;543;4,24;771;4,36
0;7442;4,88
248;2,77;291;2,83;411;3,42;348;3,48;794;4,65;428;4,17;595;4,24;809;4,51;728;4,79;1426;7,50;1364;7,76
0;4722;3,14
345;2,84;633;3,06;448;3,05;333;2,53;466;3,31;276;2,73;257;2,35;391;3,22;546;4,09;358;2,40;669;4,71
0;5909;3,89
614;4,19;673;3,82;659;3,56;560;4,62;500;3,70;469;2,97;384;3,25;260;2,50;473;3,71;547;3,72;770;7,55
0;3949;2,82
397;2,24;404;2,28;316;2,29;333;3,84;494;2,98;447;3,00;274;2,35;310;3,51;333;3,20;377;3,35;264;3,06
0;3675;2,70
332;2,74;428;4,52;299;3,06;481;3,16;498;2,98;290;2,47;229;2,14;279;2,41;256;1,74;284;2,47;299;2,37
241148
0;3099;2,02
341;2,04;294;2,91;411;3,49;230;1,57;243;1,64;355;1,86;304;3,45;256;1,81;194;1,60;311;1,47;160;1,64
0;2617;1,82
195;1,72;263;2,84;195;2,31;229;1,94;341;1,98;308;2,05;59;0,76;206;1,66;290;1,60;287;1,66;244;1,59
0;3018;1,84
414;2,22;349;2,26;353;1,79;229;1,83;189;1,51;312;1,86;241;1,67;173;1,69;216;1,61;225;1,76;317;1,79
0;2588;1,70
110;1,23;177;1,72;273;2,27;160;1,60;278;1,63;178;1,73;242;1,72;295;1,65;246;1,62;287;1,51;342;1,95
0;2086;1,39
151;1,24;296;1,43;240;1,63;192;1,46;205;1,45;158;1,57;160;1,46;137;1,13;166;1,24;130;0,87;251;1,77
0;3466;2,28
1156;7,90;476;2,70;489;2,64;186;1,53;180;1,33;271;1,71;180;1,52;141;1,36;212;1,66;102;0,69;73;0,72
0;2176;1,55
196;1,11;285;1,61;178;1,29;113;1,30;245;1,48;295;1,98;156;1,34;210;2,38;181;1,74;197;1,75;120;1,39
0;1971;1,45
149;1,23;118;1,24;172;1,76;137;0,90;239;1,43;189;1,61;196;1,83;137;1,18;223;1,52;252;2,19;159;1,26
241153
0;1933;1,26
194;1,16;162;1,60;140;1,19;173;1,18;177;1,19;282;1,48;102;1,16;175;1,24;175;1,45;211;1,00;142;1,45
0;1255;0,87
118;1,04;62;0,67;52;0,62;80;0,68;105;0,61;169;1,12;121;1,56;133;1,07;161;0,89;131;0,76;123;0,80
0;1436;0,88
201;1,08;148;0,96;244;1,24;104;0,83;78;0,62;141;0,84;92;0,64;59;0,58;88;0,66;95;0,74;186;1,05
0;1813;1,19
226;2,53;155;1,50;127;1,06;114;1,14;202;1,18;87;0,85;122;0,87;175;0,98;122;0,80;302;1,59;181;1,03
0;2834;1,88
362;2,98;447;2,16;241;1,64;285;2,17;237;1,68;177;1,75;170;1,55;300;2,47;179;1,34;218;1,46;218;1,53
0;2683;1,76
173;1,18;397;2,25;254;1,37;192;1,58;235;1,74;685;4,33;226;1,91;146;1,40;142;1,11;135;0,92;98;0,96
0;2699;1,93
299;1,69;452;2,56;652;4,72;118;1,36;279;1,68;256;1,72;164;1,41;98;1,11;128;1,23;128;1,14;125;1,45
0;3083;2,27
173;1,43;426;4,49;177;1,81;344;2,26;302;1,81;292;2,49;204;1,90;217;1,88;415;2,82;225;1,96;308;2,44
241140
0;5909;3,86
957;5,71;290;2,87;530;4,50;746;5,10;855;5,75;655;3,43;378;4,29;422;2,99;332;2,74;472;2,24;272;2,78
0;2999;2,08
174;1,53;263;2,84;234;2,77;316;2,67;512;2,97;338;2,25;149;1,93;235;1,90;287;1,58;264;1,53;227;1,48
0;3536;2,16
367;1,97;353;2,29;561;2,84;226;1,81;235;1,88;299;1,79;198;1,38;172;1,68;313;2,33;306;2,39;506;2,86
0;3436;2,26
289;3,23;175;1,70;229;1,91;173;1,73;406;2,38;250;2,44;376;2,68;396;2,21;294;1,93;420;2,21;428;2,43
0;4756;3,16
341;2,80;729;3,52;487;3,31;374;2,84;422;2,99;450;4,46;438;4,01;440;3,62;309;2,32;356;2,39;410;2,88
0;4264;2,80
328;2,24;563;3,19;452;2,44;469;3,87;304;2,25;378;2,39;418;3,53;316;3,04;352;2,76;413;2,81;271;2,66
0;4708;3,36
537;3,03;612;3,46;284;2,06;337;3,89;599;3,61;563;3,78;448;3,85;237;2,68;413;3,97;327;2,91;351;4,07
0;4499;3,31
